year,value
2021,150.2
2020,161.8
2019,175.6
2018,180.4
2017,154.0
2016,174.3
2015,177.3
2014,164.3
2013,138.5
2012,163.3
2012,163.3
2011,178.2
2011,178.2
2010,145.5
2009,139.8
2008,182.6
2007,117.1
