year,value
2021,12000.0
2020,12700.0
2019,12300.0
2018,12700.0
2017,12300.0
2016,12900.0
2015,13200.0
2014,12400.0
2013,13200.0
2012,13000.0
2011,13000.0
2010,13000.0
2009,13000.0
2008,13000.0
2007,13000.0
