,year,value
178,2021,1742400.0
192,2020,2036470.0
206,2019,2123240.0
220,2018,2244230.0
233,2017,1894400.0
246,2016,2248000.0
260,2015,2340000.0
274,2014,2037000.0
288,2013,1828800.0
301,2012,2123000.0
314,2011,2317000.0
327,2010,1891000.0
339,2009,1817000.0
351,2008,2374000.0
363,2007,1522000.0
